,estatura
0,1.8
1,1.7
2,1.69
3,1.73
4,1.82
5,1.8
6,1.7
7,1.92
8,1.66
9,1.74
10,1.7
11,1.65
12,1.73
13,1.75
14,1.65
15,1.7
16,1.68
17,1.76
18,1.79
19,1.7
20,1.84
21,1.81
22,1.6
23,1.8
24,1.5
