cum,L -,L,xi,fi abs,fi sum,fi %
0-1.5,0,1.5,0.75,1,1,4.0
1.5-3.0,1.5,3.0,2.25,0,1,0.0
3.0-4.5,3.0,4.5,3.75,0,1,0.0
4.5-6.0,4.5,6.0,5.25,0,1,0.0
6.0-7.5,6.0,7.5,6.75,17,18,68.0
7.5-9.1,7.5,9.1,8.3,7,25,28.000000000000004
