,cum
0,7.41
1,8.02
2,7.7
3,7.35
4,7.1
5,7.71
6,7.14
7,7.21
8,6.73
9,7.13
10,6.94
11,7.61
12,6.8
13,9.1
14,6.63
15,8.03
16,7.25
17,7.3
18,8.56
19,6.85
20,7.2
21,0.0
22,6.97
23,7.23
24,6.9
