peso,L -,L,xi,fi abs,fi sum,fi %
105-130,105,130,117.5,2,2,8.0
130-155,130,155,142.5,8,10,32.0
155-180,155,180,167.5,9,19,36.0
180-205,180,205,192.5,5,24,20.0
205-230,205,230,217.5,0,24,0.0
230-255,230,255,242.5,1,25,4.0
