,peso
0,149
1,105
2,130
3,125
4,68
5,127
6,160
7,130
8,100
9,105
10,155
11,108
12,106
13,105
14,160
15,102
16,120
17,135
18,128
19,110
20,142
21,136
22,125
23,115
24,150
