estatura,L -,L,xi,fi abs,fi sum,fi %
1.53-1.58,1.53,1.58,1.5550000000000002,9,9,36.0
1.58-1.63,1.58,1.63,1.605,7,16,28.000000000000004
1.63-1.68,1.63,1.68,1.6549999999999998,5,21,20.0
1.68-1.73,1.68,1.73,1.705,3,24,12.0
1.73-1.78,1.73,1.78,1.755,0,24,0.0
1.78-1.83,1.78,1.83,1.8050000000000002,1,25,4.0
