estatura,peso,cum,gastocel
estatura,peso,cum,gastocel
1.8,149,7.41,20
1.7,160,8.02,7
1.69,165,7.7,10
1.73,158,7.35,8
1.82,180,7.1,20
1.8,240,7.71,15
1.7,150,7.14,15
1.92,200,7.21,30
1.66,180,6.73,20
1.74,150,7.13,18
1.7,130,6.94,50
1.65,150,7.61,10
1.73,190,6.8,15
1.75,165,9.1,5
1.65,150,6.63,30
1.7,158,8.03,3
1.68,124,7.25,23
1.76,170,7.3,8
1.79,170,8.56,23
1.7,155,6.85,23
1.84,170,7.2,20
1.81,150,0,20
1.6,150,6.97,30
1.8,190,7.23,25
1.5,105,6.9,5
